Date,Subject,Message
10/20/2021,"BKLYN, B and Q Trains, Part Suspended",There is no B/Q train service between Brighton Beach and Coney Island-Stillwell Av while our crews perform track maintenance. Consider free shuttle buses that are making stops between Brighton Beach and Coney Island-Stillwell Av.
10/20/2021,Q Line - Weekend Planned Service Change,"Oct 23 - 24, Sat 3:45 AM to Sun 10 PM No Q trains between Stillwell Av and Brighton Beach because of track maintenance. Take free shuttle buses. Q trains will run between Brighton Beach and 96 St. To/from Stillwell Av, use the F or N. Free shuttle buses will run between Stillwell Av and Brighton Beach. Transfer between trains and buses at Brighton Beach. This service change affects one or more ADA accessible stations. These travel alternatives may not be fully accessible. Please contact 511 to plan your trip. For more information, click on the mta.info link in this email and read station signs."
10/20/2021,G Line - Weekend Planned Service Change,"Oct 22 - 25, Fri 9:45 PM to Mon 5 AM Court Sq-bound G trains will skip Fort Hamilton Pkwy, 15 St-Prospect Park, and 4 Av-9 St because of track maintenance."
10/20/2021,F Line - Weekend Planned Service Changes,"Oct 22 - 25, Fri 9:45 PM to Mon 5 AM Jamaica-bound F trains will skip Fort Hamilton Pkwy, 15 St-Prospect Park, and 4 Av-9 St because of track maintenance. Oct 22 - 25, Fri 9:45 PM to Mon 5 AM Jamaica-bound F trains will skip Avenue U because of signal modernization."
10/20/2021,6 Line - Weekend Planned Service Changes,"Oct 22 - 25, Fri 9:45 PM to Mon 5 AM Uptown 6 service will skip 23 St, 28 St, and 33 St because of accessibility improvements. This service change affects one or more ADA accessible stations. Travel alternatives may not be fully accessible. Please contact 511 to plan your trip. For more information, click on the mta.info link in this email and read station signs. Oct 22 - 25, Fri 9:45 PM to Mon 5 AM Brooklyn Bridge-bound 6 service will skip Longwood Av, E 149 St, E 143 St, Cypress Av, and Brook Av because of track maintenance."
10/20/2021,5 Line - Weekend Planned Service Changes,"Oct 22, Friday, beginning 8:30 PM 5 service will end early between Bowling Green and E 180 St because of accessibility improvements. Take the 2/4. Oct 23 - 24 Saturday, 5:45 AM to 11:15 PM Sunday, 10 AM to 11:15 PM 5 service will run every 20 minutes because of accessibility improvements. Oct 24, Sunday, 7:45 AM to 11 AM No 5 service between E 180 St and Bowling Green because of track maintenance. Take the 2 and/or 4. 5 service will run between Dyre Av and E 180 St. 2 service will make 5 stops between E 180 St and 149 St-Grand Concourse. 4 service will make all 5 stops between 149 St-Grand Concourse and Bowling Green. Transfer at E 180 St 2/5 or 149 St-GC 2/4. These service changes affect one or more ADA accessible stations. These travel alternatives may not be fully accessible. Please contact 511 to plan your trip. For more information, click on the mta.info link in this email and read station signs."
10/20/2021,2 Line - Weekend Planned Service Change,"Oct 24, Sunday, 7:30 AM to 10 AM 2 service will run every 15 minutes because of track maintenance."
10/18/2021,"QNS, E and F Trains, Slow Speeds",E F trains are running at slower speeds in both directions between Jackson Hts-Roosevelt Av and Court Sq-23 St (E ) / 21 St-Queensbridge (F ) while we perform maintenance work along Queens Boulevard.
10/18/2021,"BKLYN, N Train, Slow Speeds",N trains are running at slower speeds near 18 Av because of a signal malfunction at that station.
10/18/2021,"BKLYN, MANH, F Train, Delays",Northbound F trains are running at slower speeds between York St and East Broadway because of a signal malfunction.
10/18/2021,"QNS, E and F Trains, Slow Speeds",Southbound E F trains are running at slower speeds in Queens while our crews perform maintenance near 63 Dr-Rego Park.
10/29/2021,"BX, 4 Train, Delays",Southbound 4 trains are delayed while our crews work to correct a signal problem at Burnside Av.
10/29/2021,"2 and 3 Trains, Delays",Southbound 2 3 trains are delayed while our crews work to correct a signal problem near 116 St
10/29/2021,"QNS, N and W Trains, Delays",N W departures from Astoria-Ditmars Blvd are delayed while we remove a train with a door problem from service at 30 Av.
10/29/2021,"A Train, Delays",Southbound A trains are proceeding with delays after our crews corrected a door problem on a train at 59 St-Columbus Circle.
10/29/2021,"BKLYN, Q Train, Delays",You may wait longer for a northbound Q train after we addressed a door problem on a train at Avenue J.
10/29/2021,"MANH, 4 and 5 Trains, Some Delays",Northbound 4 5 trains have resumed running at regular speeds from Brooklyn Bridge-City Hall to 59 St after we corrected a signal problem near 59 St.
10/29/2021,"MANH, 4 and 5 Trains, Multiple Impacts",Northbound 4 5 trains are running at slower speeds from Grand Central-42 St to 59 St because of a signal problem near 59 St. Some northbound 5 trains will be rerouted to reduce congestion: These trains will run on the local track in Brooklyn and make stops on the 2 line in Manhattan.
10/29/2021,"BX, BKLYN, MANH, 4 and 5 Trains, Multiple Impacts",Northbound 4 5 trains are running at slower speeds from Grand Central-42 St to 59 St because of a signal problem near 59 St. Some northbound 5 trains will run on the 2 line from Nevins St to 149 St-Grand Concourse to relieve congestion.
10/29/2021,"BKLYN, A Train, Delays",Expect longer waits for northbound A trains after we removed a train with a mechanical problem from service at Euclid Av.
10/29/2021,"MANH, 4 and 5 Trains, Delays",Southbound 4 5 trains are proceeding with delays after we removed a train with a mechanical problem from service at Bowling Green.
10/29/2021,"MANH, 4 and 5 Trains, Delays",Southbound 4 5 trains are delayed while we remove a train with a mechanical problem from service at Bowling Green.
10/29/2021,"QNS, A Train, Some Delays",Northbound A trains are delayed while we troubleshoot a door problem at Aqueduct-N Conduit Av.
10/29/2021,"BX, 5 Train, Some Delays",You may wait longer for a southbound 5 train because of a switch problem near Nereid Av.
10/28/2021,"BKLYN, A Train, Some Delays",You may wait longer for an Inwood-bound A train after we fixed a door problem on a train at Utica Av.
10/28/2021,"MANH, 1 Train, Some Delays",1 trains may be delayed entering/leaving South Ferry while we troubleshoot a train with mechanical problems at the terminal.
10/28/2021,"BKLYN, D Train, Delays",Northbound D trains are delayed while we remove a train with a door problem from service at 79 St.
10/28/2021,"BKLYN, A Train, Slow Speeds",Northbound A trains are running at slower speeds near Grant Av while we address a signal problem.
